Song	~High PP	Difficulty	★	#	Multi	~Actual PP	Total	Comments
 Get Lucky - Daft Punk ft. Pharrell Williams	117.45	Expert	2.93★	340	0.00001	0.0006		
 Koi wa chaos no shimobenari - Love is the Servant of Chaos	117.27	Expert	2.86★	341	0.00001	0.0006		
 The Last Lazer Master - Dirk Lazermaster	117.18	Expert	2.95★	342	0.00001	0.0006		
 Someone In The Crowd - La La Land	117.15	Hard	2.92★	343	0.00000	0.0006		
 Jumping All Over The World - Scooter	117.13	Expert	2.89★	344	0.00000	0.0006		
 Good Time - Owl City	117.10	Expert	2.88★	345	0.00000	0.0005		
 Go Fck Yourself - Two Feet	117.06	Hard	2.81★	346	0.00000	0.0005		
 Everytime we touch - Radio Edit - Cascada	116.98	Expert	2.87★	347	0.00000	0.0005		
 My Hero Academia Opening 1 - NateWantsToBattle	116.97	Expert	2.83★	348	0.00000	0.0005		
 Tonight - Sunset Neon	116.95	Expert	2.92★	349	0.00000	0.0005		
 VORACITY - OVERLOAD III OP	116.88	Expert	2.86★	350	0.00000	0.0004		
 Pretty Fly - The Offspring	116.87	Expert	2.84★	351	0.00000	0.0004		
 Stay With Me  - Echos Remix 	116.78	Expert	2.92★	352	0.00000	0.0004		
 Defending Yellow River - The Yellow River Chorus	116.77	Expert	2.77★	353	0.00000	0.0004		
 Burnt Rice - Shawn Wasabi	116.70	Expert	2.89★	354	0.00000	0.0004		
 Professional Griefers - Deadmau5	116.66	Expert	2.78★	355	0.00000	0.0004		
 Without You (Arcade Game Style) - Avicii (Afishal Remix)	116.62	Expert	2.79★	356	0.00000	0.0004		
 Feel the melody - S3RL	116.60	Expert	2.86★	357	0.00000	0.0003		
 Chemical Plant Zone - Sonic The Hedgehog 2	116.51	Expert	2.91★	358	0.00000	0.0003		
 Tieduprightnow - Parcels	116.49	Expert	2.85★	359	0.00000	0.0003		
 A-Punk - Vampire Weekend	116.42	Expert	2.85★	360	0.00000	0.0003		
 Gospel of the Throttle - Minutes Til Midnight (Driftors OP)	116.39	Expert	2.94★	361	0.00000	0.0003		
 Runaway Baby - Bruno Mars	116.14	Expert	2.79★	362	0.00000	0.0003		
 Renai Circulation - Weeb Shit	116.14	Expert+	2.92★	363	0.00000	0.0003		
 Sarabande - 	116.10	Expert	2.89★	364	0.00000	0.0003		
 Eins Zwei Polizei - Biotronix	115.97	Expert	2.79★	365	0.00000	0.0003		
 Milk - Morimori Atsushi	115.95	Expert	2.91★	366	0.00000	0.0003		
 Welcome to My World - SkylerWallace	115.93	Expert	2.9★	367	0.00000	0.0002		
 Welcome to My World - SkylerWallace	115.93	Expert	2.9★	368	0.00000	0.0002		
 BTH 4 - Come & Get It - (Charted by M.Rappold)	115.90	Expert+	2.89★	369	0.00000	0.0002		
 American Boy - Estelle ft. Kanye West	115.88	Expert	2.79★	370	0.00000	0.0002		
 In Between - Charted by PyroBillie	115.87	Hard	2.88★	371	0.00000	0.0002		
 Goofy Goober - Spanch Bob	115.84	Expert	2.89★	372	0.00000	0.0002		
 Graves - Chvrches	115.74	Expert	2.83★	373	0.00000	0.0002		
 Frowny Face (Douster Remix) - Gucci Mane	115.73	Expert	2.78★	374	0.00000	0.0002		
 Love Me - The 1975	115.69	Expert+	2.98★	375	0.00000	0.0002		
 Scar Your Face (Operation Zero Remix) - The Prophet Ft Headhunterz	115.59	Expert+	2.89★	376	0.00000	0.0002		
 We No Speak Americano - 	115.39	Hard	2.88★	377	0.00000	0.0002		
 Croatian Rhapsody - The Piano Player	115.37	Expert	2.78★	378	0.00000	0.0002		
 B.B.K.K.B.K.K.  - 	115.30	Expert	2.85★	379	0.00000	0.0002		
 B.B.K.K.B.K.K.  - 	115.30	Expert	2.85★	380	0.00000	0.0002		
 BTH2 - All I Know - (Charted by M.Rappold	115.11	Expert+	2.85★	381	0.00000	0.0001		
 POP TEAM EPIC - by Sumire Uesaka	115.11	Expert	2.81★	382	0.00000	0.0001		
 We Dont Bite - JTMACHINIMA	115.07	Hard	2.86★	383	0.00000	0.0001		
 Sleepyhead - Passion Pit	115.02	Expert	2.8★	384	0.00000	0.0001		
 Bubble Pop - Hyuna	114.93	Expert	2.8★	385	0.00000	0.0001		
 Infected - Sickick	114.77	Expert	2.79★	386	0.00000	0.0001		
 LUV U NEED U - Slushii	114.76	Hard	2.87★	387	0.00000	0.0001		
 Renegade - phoenix7700	114.71	Expert+	2.87★	388	0.00000	0.0001		
 The Nobodies - modded by Tzahrkiya	114.70	Expert	2.84★	389	0.00000	0.0001		
 Suicide Bassline VIP - Mefjus	114.68	Expert	2.92★	390	0.00000	0.0001		
 News 39 - MitchieM	114.53	Expert	2.86★	391	0.00000	0.0001		
 Silicon XX - S3RL ft. Nikolett	114.44	Expert	2.86★	392	0.00000	0.0001		
 BLACK or WHITE? - BlackYooh vs. siromaru	114.43	Expert+	2.86★	393	0.00000	0.0001		
 Mikazuki (sped up ver.) - Sayuri	114.41	Expert	2.86★	394	0.00000	0.0001		
 I Want You - DJMAX	114.30	Expert	2.85★	395	0.00000	0.0001		
 Break The Silence - Monstercat	114.22	Expert	2.86★	396	0.00000	0.0001		
 Rx (Medicate) - Theory of a Deadman	114.12	Expert	2.87★	397	0.00000	0.0001		
 Corduroy - TeamSESH	114.02	Expert	2.82★	398	0.00000	0.0001		
 Planet Rave - S3RL ft Renee 	113.99	Expert	2.85★	399	0.00000	0.0001		
 JoJo's BA - Opening 3	113.97	Expert	2.85★	400	0.00000	0.0001		
 Kickstart My Heart - Motley Crue - 	113.93	Expert	2.85★	401	0.00000	0.0001		
 KDV (feat. Shug) - MISSIO	113.83	Hard	2.82★	402	0.00000	0.0001		
 Qubism - Chart by Moriik	113.83	Expert	2.86★	403	0.00000	0.0001		
 Let Me Hear - Fear, and Loathing in Las Vegas	113.75	Expert	2.85★	404	0.00000	0.0001		
 Shinzou wo Sasageyo - 	113.74	Expert	2.79★	405	0.00000	0.0001		
 Peanut Butter Jelly Time - The Buckwheat Boyz	113.73	Expert	2.84★	406	0.00000	0.0001		
 Requiem For A Dream - (Beyond All What's Denied cover)	113.72	Hard	2.76★	407	0.00000	0.0001		
 Hotel Moonside - Kanade Hayami	113.65	Expert	2.78★	408	0.00000	0.0001		
 ECHO - (Map By QuiqueLocoXDDDD)	113.59	Expert	2.71★	409	0.00000	0.0001		
 Lie, Cheat, Steal - Run the Jewels	113.49	Expert	2.78★	410	0.00000	0.0001		
 Headless Beast - Pause Ahead Side A - Bill Kiley	113.38	Expert	2.83★	411	0.00000	0.0000		
 Fake Love - BTS	113.37	Expert	2.76★	412	0.00000	0.0000		
 Red Like Roses - Part II - Ft. Casey Lee Williams and Sandy Casey	113.27	Expert+	2.78★	413	0.00000	0.0000		
 UTAMI - 	113.24	Expert	2.82★	414	0.00000	0.0000		
 UTAMI - 	113.24	Expert	2.82★	415	0.00000	0.0000		
 Tomadoi Recipe - 	113.20	Hard	2.69★	416	0.00000	0.0000		
 Los! Los! Los! [TV size] - Tanya Degurechaff (Aoi Yuuki)	113.19	Expert	2.77★	417	0.00000	0.0000		
 Dirty Vibe - with Diplo, CL, & G-Dragon	113.17	Expert+	2.73★	418	0.00000	0.0000		
 Summer Of The Occult - 	113.15	Expert	2.83★	419	0.00000	0.0000		
 What Is Love - Haddaway	113.07	Expert+	2.76★	420	0.00000	0.0000		
 Hatsune Miku no Shoushitsu - 	112.79	Expert	2.87★	421	0.00000	0.0000		
 Bring Back The Summer - Rain Man	112.78	Hard	2.88★	422	0.00000	0.0000		
 Made An America - THE FEVER 333	112.72	Hard	1.76★	423	0.00000	0.0000		
 Cantina Band - DJ AG	112.65	Expert	2.67★	424	0.00000	0.0000		
 Cantina Band - DJ AG	112.65	Expert	2.67★	425	0.00000	0.0000		
 MegaloBox Main Theme Song - Mabanua	112.64	Expert	2.75★	426	0.00000	0.0000		
 MegaloBox Main Theme Song - Mabanua	112.64	Expert	2.75★	427	0.00000	0.0000		
 Crypteque -Map by Batteredburrito - 	112.55	Hard	2.7★	428	0.00000	0.0000		
 Hamster Dance - 	112.51	Expert	2.76★	429	0.00000	0.0000		
 Little Drop - Dropgun	112.45	Expert	2.83★	430	0.00000	0.0000		
 Devastator  - For Today	112.43	Expert	2.79★	431	0.00000	0.0000		
 Click Bait - Feat. Gl!tch	112.41	Hard	2.8★	432	0.00000	0.0000		
 Waiting For Love - Avicii	112.37	Expert	2.78★	433	0.00000	0.0000		
 Rip and Tear - Mapped by Samson Davis	112.33	Expert+	2.82★	434	0.00000	0.0000		
 RED ZONE - 	112.33	Hard	2.8★	435	0.00000	0.0000		
 Make A Mess - Matt and Kim	112.20	Expert	2.8★	436	0.00000	0.0000		
 Death To All But Metal - Steel Panther	112.10	Expert	2.88★	437	0.00000	0.0000		
 Sad Story (Out of Luck) - Merk & Kremont	112.07	Hard	2.84★	438	0.00000	0.0000		
 NZT48 - I See Stars	111.96	Expert+	2.8★	439	0.00000	0.0000		
 Hyouri Ittai - ?kagamine Rin Len?	111.92	Expert	2.75★	440	0.00000	0.0000		
 Stutter - 	111.67	Expert	2.74★	441	0.00000	0.0000		
 Croatian Rhapsody - The Piano Player	111.60	Expert+	2.78★	442	0.00000	0.0000		
 Kyouran Hey Kids!! - Noragami Aragoto Opening	111.56	Expert+	2.72★	443	0.00000	0.0000		
 He's a pirate - Hans Zimmer & Klaus Badelt	111.36	Expert	2.7★	444	0.00000	0.0000		
 He's a pirate - Hans Zimmer & Klaus Badelt	111.36	Expert	2.7★	445	0.00000	0.0000		
 Sid Metal Legacy - 	111.33	Expert	2.98★	446	0.00000	0.0000		
 Chaoz Japan - Castle Crashers - 	111.32	Expert	2.78★	447	0.00000	0.0000		
 Kill It 4 The Kids - feat. AWOLNATION, Rock City	111.24	Expert	2.68★	448	0.00000	0.0000		
 qijizaixiang - dijiaaitman	111.22	Expert+	2.77★	449	0.00000	0.0000		
 Recover - Chvrches	111.21	Expert	2.8★	450	0.00000	0.0000		
 devstack - DiD - 	111.18	Expert	2.78★	451	0.00000	0.0000		
 Freaks - Timmy Trumpet & Savage	111.16	Expert	2.68★	452	0.00000	0.0000		
 Never Gonna - (Extended Mix)	110.93	Expert	2.77★	453	0.00000	0.0000		
 Kipod Riot Remix - Infected Mushroom	110.81	Expert+	2.77★	454	0.00000	0.0000		
 Mighty - Caravan Palace ft. JFTH	110.75	Expert	2.82★	455	0.00000	0.0000		
 iLLness LiLin  - Chart by Mystikmol	110.74	Hard	2.77★	456	0.00000	0.0000		
 Blank Space - I Prevail	110.74	Expert	2.79★	457	0.00000	0.0000		
 Lost Woods (Ephixa Remix) - Zelda	110.72	Expert	2.72★	458	0.00000	0.0000		
 Carpe Diem Pt.3 - FireFarm & AJ Myst	110.65	Expert+	2.78★	459	0.00000	0.0000		
 When It Falls - RWBY Vol. 3 Opening	110.65	Expert	2.73★	460	0.00000	0.0000		
 Thrilling?One Way - 	110.57	Hard	2.76★	461	0.00000	0.0000		
 Test Drive - John Powell	110.50	Expert	2.69★	462	0.00000	0.0000		
 TEST - Heavenly	110.43	Expert	2.77★	463	0.00000	0.0000		
 Fly - Tokyo Machine (Monstercat) - 	110.38	Expert	2.64★	464	0.00000	0.0000		
 You Know You Like It (DJ Snake remix) - 	110.38	Expert	2.62★	465	0.00000	0.0000		
 Silver Moon - Donkeyboy	110.38	Expert	2.71★	466	0.00000	0.0000		
 Second Heaven - 	110.33	Hard	2.77★	467	0.00000	0.0000		
 Pegboard Nerds - Party Freaks - 	110.33	Expert	2.75★	468	0.00000	0.0000		
 Buttonmasher - chart by Moriik	110.26	Expert	2.7★	469	0.00000	0.0000		
 Lean On (feat. M0) - Major Lazer & DJ Snake	110.15	Expert	2.7★	470	0.00000	0.0000		
 Hero ft. Elizaveta (Da Tweekaz 'Guitar Hero' Mix) - Charted by Adoom	110.13	Hard	2.78★	471	0.00000	0.0000		
 Metroid Prime - Main Theme (Krale Remix) - Kenji Yamamoto	110.10	Hard	2.76★	472	0.00000	0.0000		
 Battle Without Honor or Humanity - Tomoyasu Hotei	110.09	Expert	2.65★	473	0.00000	0.0000		
 My Hero Academia Opening 2 - My Hero Academia	110.03	Expert+	2.77★	474	0.00000	0.0000		
 My Hero Academia Opening 2 - My Hero Academia	110.03	Expert+	2.77★	475	0.00000	0.0000		
 Thanks for the Memories - Fall Out Boy	109.92	Expert	2.68★	476	0.00000	0.0000		
 Wake Me Up When September Ends - Green Day	109.90	Expert	2.74★	477	0.00000	0.0000		
 Synthesized Angel - Sakuzyo	109.88	Expert	2.72★	478	0.00000	0.0000		
 Glad You Came (Cover) - We Came As Romans 	109.86	Expert	2.75★	479	0.00000	0.0000		
 Furioso Melodia - gmtn	109.84	Expert	2.66★	480	0.00000	0.0000		
 Furioso Melodia - gmtn	109.84	Expert	2.66★	481	0.00000	0.0000		
 Furioso Melodia - gmtn	109.84	Expert	2.66★	482	0.00000	0.0000		
 Furioso Melodia - gmtn	109.84	Expert	2.66★	483	0.00000	0.0000		
 Furioso Melodia - gmtn	109.84	Expert	2.66★	484	0.00000	0.0000		
 Furioso Melodia - gmtn	109.84	Expert	2.66★	485	0.00000	0.0000		
 Furioso Melodia - gmtn	109.84	Expert	2.66★	486	0.00000	0.0000		
 Furioso Melodia - gmtn	109.84	Expert	2.66★	487	0.00000	0.0000		
 Furioso Melodia - gmtn	109.84	Expert	2.66★	488	0.00000	0.0000		
 Furioso Melodia - gmtn	109.84	Expert	2.66★	489	0.00000	0.0000		
 Furioso Melodia - gmtn	109.84	Expert	2.66★	490	0.00000	0.0000		
 Liberation - Harold van Lennep	109.79	Expert+	2.75★	491	0.00000	0.0000		
 Good Times Roll - Griz x Big Gigantic	109.77	Expert+	2.74★	492	0.00000	0.0000		
 Hopes and Dreams - Undertale	109.76	Expert	2.94★	493	0.00000	0.0000		
 Hopes and Dreams - Undertale	109.76	Expert	2.94★	494	0.00000	0.0000		
 Battle! (Lorekeeper Zinnia)  - Shota Kageyama	109.73	Expert+	2.71★	495	0.00000	0.0000		
 Pimped Out Getaway - Payday 2 Soundtrack	109.69	Expert	2.7★	496	0.00000	0.0000		
 Gangnam Style - PSY	109.64	Expert	2.65★	497	0.00000	0.0000		
 Sonic 2 - Special Stage (Dance Remix) - 	109.63	Expert	2.73★	498	0.00000	0.0000		
 Wake Me Up Before You Go-Go - Wake Me Up Before You Go-Go	109.63	Expert	2.27★	499	0.00000	0.0000		
 Stuck In The Middle - Stealer's Wheel	109.55	Expert	2.76★	500	0.00000	0.0000		
 To see the future (TV size) - 	109.55	Expert	2.73★					
 Rap God (Explicit) - 	109.54	Expert+	2.67★					
 Life Will Change - Persona 5 OST	109.54	Expert	2.69★					
 Megalovania - Toby Fox	109.46	Expert	2.73★					
 RIGHT ON TIME - from GF and DM	109.45	Expert	2.62★					
 Lethargy - Bastille	109.44	Expert+	2.73★					
 Awaken - Dethklok - 	109.40	Expert	2.74★					
 Now That I've Found You - S3RL ft. Déja	109.34	Expert	2.66★					
 Overdrive - (Map By QuiqueLocoXDDDD)	109.30	Expert	2.75★					
 Overdrive - (Map By QuiqueLocoXDDDD)	109.30	Expert	2.75★					
 Path - Apocalyptica	109.19	Hard	2.73★					
 Brinstar Depths (Kraid's Lair) - Super Smash Bros. Melee	109.09	Expert+	2.59★					
 The Nights - 	109.05	Expert	2.68★					
 Mischievous Sensation - ?????????	109.04	Expert	2.74★					
 MTC Saga - 	109.02	Hard	2.67★					
 FFVII - Hurry Faster - 	108.89	Expert	2.73★					
 Lost Frequincies - Are You With me - Are You With Me	108.84	Expert+	2.78★					
 Hibikase - Giga-P	108.81	Expert	2.63★					
 Always - 	108.74	Expert+	2.71★					
 Cathedral Pictures - 	108.62	Expert	2.73★					
 Bring It On - Giga-P	108.61	Expert	2.64★					
 Alex S. - My Little Pony Intro (Alex S. Glitch Remix) - Alex S.	108.60	Expert	2.71★					
 Crossing Field - Crossover Edition	108.53	Expert	2.71★					
 Yeah! - Usher	108.52	Expert	2.63★					
 Senbonzakura - ft. Hatsune Miku	108.47	Expert	2.71★					
 20 Percent Cooler - Ken Ashcorp	108.43	Expert	2.62★					
 Ghost Rule - DECO*27 ft. Hatsune Miku	108.41	Expert	2.67★					
 Youkoso Japari Park e - Kemono Friends OP	108.31	Expert	2.72★					
 Dragula - Rob Zombie	108.30	Expert	2.71★					
 Hand in Hand - Hatsune Miku	108.13	Expert	2.93★					
 BTH - Touch My Body - (Charted by M.Rappold)	107.97	Expert+	2.58★					
 Through the Cellar Door - 	107.96	Expert	2.62★					
 Cross Time - Brandy	107.83	Hard	2.7★					
 The Drugs - Mother Mother	107.78	Hard	2.76★					
 We Are Number One - LazyTown	107.71	Expert	2.69★					
 Hide and Seek - 64.0 - 	107.71	Expert	2.59★					
 Graffiti - CHVRCHES	107.65	Expert	2.62★					
 Rocket League x Monstercat - Glide - Stephen Walking	107.63	Expert	2.66★					
 Angels & Demons - 	107.61	Hard	2.69★					
 Papaoutai - 	107.59	Hard	2.63★					
 Criminal - 	107.58	Normal	2.62★					
 Promises - 	107.58	Expert	2.59★					
 JoJo's BA - Opening 1	107.46	Hard	2.46★					
 FFVII - J-E-N-O-V-A - 	107.42	Expert	2.59★					
 Shake It Off - Taylor Swift	107.41	Hard	2.5★					
 [Hard Dance] Stonebank Be Alright - Monstercat	107.28	Expert	2.68★					
 rockstar ft. 21 Savage - 	107.25	Expert	2.67★					
 Wannabe - Spice Girls	107.19	Expert	2.67★					
 Ryhthm Is A Dancer - Breath Carolina	107.18	Expert	2.47★					
 Flash Funk - Marshmello Remix	107.17	Expert	2.68★					
 BTH - Boundless - (Charted by M.Rappold)	107.09	Expert+	2.68★					
 Numb - Linkin Park	107.07	Expert	2.59★					
 Pop Culture - 	107.07	Hard	2.62★					
 Rone - Bye Bye Macadam - 	107.06	Expert	2.7★					
 Devil Trigger - Ali Edwards - 	107.04	Expert	2.67★					
 The Beginning - Yohske Yamamoto	106.94	Expert	2.86★					
 Telephone - 	106.92	Hard	2.68★					
 Levels - Avicii	106.89	Expert	2.66★					
 Toumei Elegy - (Mapped by Calijor)	106.86	Expert	2.62★					
 BTH 4 - SELFIE - (Charted by M.Rappold)	106.73	Expert+	2.53★					
 Disbelief Hardmode Phase 4 - Hopes of the Heart	106.72	Expert	2.7★					
 Hallelujah Essaim - Gabriel Dropout Cast	106.71	Expert	2.68★					
 Burn It Down - AWOLNATION	106.65	Hard	2.6★					
 Heavy Metal and Reflective - Azealia Banks	106.65	Expert	2.46★					
 What is Love - Haddaway	106.64	Expert	2.67★					
 Engage - TuneSquad	106.54	Expert	2.67★					
 Conqueror - AURORA	106.53	Expert	2.59★					
 I Need a Docter  - Sex Whales Remix	106.51	Expert	2.7★					
 I Need a Docter  - Sex Whales Remix	106.51	Expert	2.7★					
 Live It Up - 2018 FIFA World Cup Russia	106.50	Expert	2.63★					
 Era - The Mass	106.50	Expert	2.66★					
 Work - Bossfight	106.48	Expert	2.67★					
 More One Night - 	106.44	Expert	2.63★					
 Magic Logic Labyrinth - a_hisa	106.35	Hard	2.66★					
 Shovel Knight - Strike the Earth! - Jake Kaufman	106.35	Expert	2.66★					
 KVSH - Tokyo Drift - 	106.34	Hard	2.51★					
 The Island P2 Dusk - Pendulum	106.32	Expert	2.58★					
 Battle Against a True Hero / Undyne Battle - Undertale	106.24	Expert	2.49★					
 The Only Thing I Know For Real - Jamie Christopherson	106.23	Expert	2.59★					
 Little Kandi Raver 2012 - S3RL ft. Sara	106.16	Expert	2.65★					
 Mirror Night - V.K	106.16	Expert	2.6★					
 Let Mom Sleep - by Hideki Naganuma	106.15	Expert	2.53★					
 Blastix Riotz - Chart by Mystikmol	106.06	Hard	2.66★					
 Rasputin (Funk Overload) - 	106.01	Hard	2.54★					
 Nice To Meet You, Mr. Earthling ft. Hatsune Miku - Pinnochio-P	105.99	Expert	2.65★					
 KinjaBang - Mapped by AznPenguinPanda	105.95	Expert	2.55★					
 Alright Ft. Big Sean - Logic	105.92	Expert	2.62★					
 Alright Ft. Big Sean - Logic	105.92	Expert	2.62★					
 Alright Ft. Big Sean - Logic	105.92	Expert	2.62★					
 Alright Ft. Big Sean - Logic	105.92	Expert	2.62★					
 Alright Ft. Big Sean - Logic	105.92	Expert	2.62★					
