Song	~High PP	Difficulty	★	#	Multi	~Actual PP	Total	Comments
 Bass Slut - 	133.47	Expert	3.23★	182	0.00153	0.2039		
 Hyadain no Kakata Katamoi-C - (Nichijou OP1) by Hyadain	133.41	Expert+	3.33★	183	0.00147	0.1966		
 sleepparalysis////////////// - isqa	133.38	Expert+	3.35★	184	0.00142	0.1897		
 Rendezvous - Scandroid	132.96	Expert	3.27★	185	0.00137	0.1825		
 Tongue Tied - Earl	132.89	Expert	3.13★	186	0.00132	0.1760		
 Be Alright - Stonebank	132.47	Expert	3.31★	187	0.00128	0.1693		
 Nekomimi Switch - Artist: daniwellP / Vocal: Hatsune Miku	132.37	Expert	3.19★	188	0.00123	0.1633		
 Crescent Fangs (Crescent Moon Island Boss Theme) - Studio EIM	132.28	Expert	3.33★	189	0.00119	0.1575		
 Maware! Setsuketsuka - Unbreakable Machine Doll	132.26	Expert	3.23★	190	0.00115	0.1519		
 Soar - Erik McClure	132.11	Expert	3.3★	191	0.00111	0.1464		
 Night of Nights - 	131.99	Hard	3.29★	192	0.00107	0.1412		
 Sea Shanty 2 - Old School RuneScape	131.96	Expert	3.18★	193	0.00103	0.1362		
 Synthesized Angel - Sakuzyo	131.88	Expert+	3.29★	194	0.00100	0.1314		
 Happy Synthesizer  - Chart by Mystikmol	131.78	Expert+	3.29★	195	0.00096	0.1267		
 Punjabi - 	131.39	Expert	3.14★	196	0.00093	0.1219		
 Saving Light (Hixxy Remix) - Gareth Emery & Standerwick feat. Haliene	131.22	Expert	3.29★	197	0.00090	0.1175		
 Setsuna Imitation (feat. Yurica, Hanatan)  - Yairi	131.02	Hard	3.15★	198	0.00086	0.1132		
 Chaoz Fantasy - ParagonX9	131.02	Expert	3.25★	199	0.00083	0.1092		
 Nothing Stopping Me - Dave Catellano Remix	130.93	Expert	3.06★	200	0.00080	0.1053		
 Come With Me - Special D	130.75	Expert+	3.2★	201	0.00078	0.1015		
