 Death by Glamour - by Toby Fox	123.09	Expert	3.08★	2415-1671
 Mayday (feat. Laura Brehm) - TheFatRat	123.08	Expert	3.09★	1160-797
 Gerudo Valley - The Legend of Zelda - Super Smash Bros Wii U	123.01	Expert+	3.12★	1764-1232
 Flower Dance - 	122.66	Expert	3.03★	2322-1605
 Yotsuya-san ni Yoroshiku - 	122.62	Expert	2.92★	1922-1337
 Don't Stop Push It Now (Squad-E Remix) - Dan Winter	122.52	Expert	2.96★	3508-2595
 Skies of Arcadia - Kingdom of Ixa'taka - 	122.51	Hard	2.82★	1788-1247
 Midnight City - M83	122.46	Expert+	3.06★	542-341
 No, Thank you! - K-On	122.41	Expert+	3.02★	2105-1462
 LUV U NEED U - Slushii	122.16	Expert	3.06★	832-551
 Nothing Stopping Me - Dave Catellano Remix	122.11	Expert	3.06★	2425-1679
 Bad Apple!! - 	122.03	Expert	2.94★	94-51
 Our Wrenally - Chart by Kizuflux	121.75	Hard	3.09★	4879-4219
 One More Time - Berlin Child	121.72	Expert	3.05★	3818-2965
 Now Loading - Fourfolium	121.69	Expert	3.07★	1253-871
 Doomsday - KILLY	121.58	Expert+	3.11★	
 The Lovely,Freezing,Tomboyish Bath, Cirno's Hot Spring - 	121.51	Expert+	3.05★	2142-1480
 Crush (Goshfather & Jinco x JayKode Edition) (Feat. Lauryn Vyce) - Jennifer Paige	121.32	Expert	3.05★	2720-1901
 California Gurls - Katy Perry	121.26	Expert	3.03★	1850-1283
 Utai IV_ Reawakening (Steve Aoki Remix) - Steve Aoki Remix	121.16	Expert	3.05★	1885-1308
 Angelic Angel - 	121.13	Expert	3.06★	1546-1087
 Nekkoya Jap ver. - PRODUCE48	121.1	Expert	3.03★	3046-2161
 JoJo's BA - Opening 1	121.1	Expert	3.03★	324-190
 tengoku jigoku daijigoku - 	121.08	Expert	3.03★	2610-1820
 Savior of Song (TV Size) - feat. MY FIRST STORY	121.06	Expert	3.03★	2324-1607
 California Gurls - Katy Perry	121	Normal	3.02★	1850-1283
 California Gurls - Katy Perry	120.93	Hard	3.02★	1850-1283
 Swamp Thing - Da Tweekaz Edit	120.76	Expert	3.03★	1285-895
 Otter Pop (feat. Hollis) - Shawn Wasabi	120.65	Expert+	2.97★	2974-2107
 The Writing's On The Wall - OK GO	120.64	Expert	3.03★	680-443
